first_name,last_name,price,above_100
Robert,Thomas,1.175426149,FALSE
Laura,Diaz,1.192317589,FALSE
Mark,Bowman,1.222785626,FALSE
Samuel,Reynolds,1.321601458,FALSE
Regina,Johnson,1.366200222,FALSE
Suzanne,Goodwin,1.609752661,FALSE
Robert,Wheeler,1.700381981,FALSE
Elizabeth,Jones,1.721334549,FALSE
Jesus,Martinez,1.741610191,FALSE
Katie,Chang,1.783019817,FALSE
Henry,Roach,1.959007179,FALSE
Randy,Carlson,2.022629676,FALSE
Jennifer,Baldwin,2.031104135,FALSE
April,Taylor,2.033803094,FALSE
Kevin,Flores,2.04595842,FALSE
Richard,Tucker,2.106609758,FALSE
Lance,Williams,2.170543081,FALSE
Jessica,Weiss,2.388986621,FALSE
Erica,Beck,2.408526397,FALSE
Rachel,Shaw,2.448211506,FALSE
Morgan,Malone,2.477439712,FALSE
Stephanie,Green,2.663967786,FALSE
Don,Ryan,2.665125824,FALSE
Jorge,Brown,2.668016258,FALSE
Michelle,Kidd,2.740652384,FALSE
William,Daniels,2.75363996,FALSE
Darius,Phillips,2.778963306,FALSE
Susan,Smith,2.813093506,FALSE
Cindy,Wells,2.823278649,FALSE
Brian,Lam,2.900394487,FALSE
Aaron,Wilson,2.920350867,FALSE
Jennifer,Evans,2.977011972,FALSE
Melissa,Jackson,2.993787587,FALSE
Gregory,Castillo,3.006714074,FALSE
Jeremy,Lewis,3.085548783,FALSE
Wayne,Baker,3.161650812,FALSE
Steven,Morton,3.222866321,FALSE
Stephanie,Mcdonald,3.404207994,FALSE
Michael,Fisher,3.421642628,FALSE
Robert,Stephens,3.606464206,FALSE
Victoria,Kirk,3.666987419,FALSE
Kathy,White,3.687331701,FALSE
Kristie,White,3.731188383,FALSE
Shelly,Jacobs,3.856762052,FALSE
Jill,Cain,3.86708951,FALSE
Nancy,Miller,3.869209803,FALSE
Sara,Romero,3.931396765,FALSE
Adrian,Richmond,3.975889905,FALSE
Michele,Harrington,3.997445113,FALSE
Amanda,Chavez,4.068803173,FALSE
Justin,Thornton,4.125420062,FALSE
Karen,Duncan,4.247976362,FALSE
Leslie,Lambert,4.358674004,FALSE
Michelle,Ortega,4.451817194,FALSE
Kevin,Lambert,4.531036969,FALSE
Derek,Romero,4.59663563,FALSE
Linda,Sullivan,4.597577836,FALSE
Carol,Hernandez,4.624370641,FALSE
Harold,Rowe,4.973566675,FALSE
Tamara,Wilson,5.006903718,FALSE
Jennifer,Collier,5.028182914,FALSE
Mary,Gonzales,5.041468474,FALSE
Robert,Davis,5.109436915,FALSE
Michael,Moore,5.190391677,FALSE
Adam,Jones,5.368559531,FALSE
Tonya,Green,5.382315323,FALSE
Mathew,Harmon,5.477643314,FALSE
Danielle,Miller,5.840759287,FALSE
Stephen,Martinez,5.998153471,FALSE
Robert,Norton,6.032077064,FALSE
Kayla,Wheeler,6.095911005,FALSE
Stephanie,Thompson,6.110999884,FALSE
Alan,Reyes,6.140652941,FALSE
Maria,Short,6.141360759,FALSE
Angie,Meyers,6.161600358,FALSE
Alexis,Andrade,6.313985183,FALSE
Kenneth,Hill,6.341114311,FALSE
Elizabeth,Estes,6.351425195,FALSE
Stephanie,Skinner,6.450115409,FALSE
Yolanda,Morris,6.484809775,FALSE
Jeremy,Henderson,6.508134318,FALSE
Bryan,Patton,6.517783303,FALSE
Heather,Bonilla,6.574397982,FALSE
Janet,Gross,6.593436831,FALSE
Lawrence,Jones,6.607550303,FALSE
Daniel,James,6.650911434,FALSE
Jamie,Mccullough,6.663633226,FALSE
Jennifer,Goodwin,6.772621519,FALSE
Gina,Taylor,6.858407402,FALSE
Arthur,Chavez,6.903795238,FALSE
Gary,Murphy,6.925016621,FALSE
Cheryl,Vaughn,6.978182509,FALSE
Richard,Martin,7.04924545,FALSE
Lacey,Rosales,7.213924384,FALSE
Ronald,Huff,7.220543464,FALSE
Albert,Jefferson,7.324849522,FALSE
Erica,Williams,7.35260963,FALSE
Amber,Mathis,7.451948785,FALSE
Lori,Fuller,7.52071342,FALSE
Mariah,Jones,7.586662029,FALSE
Brandon,Murphy,7.589198878,FALSE
Debra,Lee,7.628367945,FALSE
Gabriella,Anthony,7.638645405,FALSE
Laura,Lopez,7.703221405,FALSE
Vanessa,Chase,7.770786949,FALSE
Marcus,Stout,7.833256587,FALSE
Elizabeth,Andersen,7.886266805,FALSE
Sean,Sullivan,7.92936954,FALSE
Jacob,Hernandez,7.999586638,FALSE
James,Cordova,8.083382542,FALSE
Dylan,White,8.193226613,FALSE
Brandon,Riggs,8.330686218,FALSE
Johnathan,Allen,8.375005469,FALSE
Suzanne,Barnett,8.470995351,FALSE
Michele,West,8.534199297,FALSE
Anne,Dixon,8.544510834,FALSE
Casey,Johnston,8.571507149,FALSE
Michael,Johnson,8.605437261,FALSE
Olivia,Thompson,8.608441014,FALSE
Jennifer,Brown,8.634621797,FALSE
Zachary,Lee,8.667301583,FALSE
Denise,Glass,8.677582919,FALSE
Ryan,Fisher,8.681152271,FALSE
Thomas,Garza,8.704469199,FALSE
Rodney,Escobar,8.711600244,FALSE
Chad,Willis,8.733980598,FALSE
Cynthia,Smith,8.747993771,FALSE
Ryan,Jimenez,8.806463395,FALSE
Daniel,Wade,8.806478022,FALSE
Melissa,Perez,8.902708367,FALSE
Shirley,Nguyen,9.011665323,FALSE
Melissa,Smith,9.02944651,FALSE
Stephanie,Green,9.144974191,FALSE
Sheryl,Hill,9.161919917,FALSE
Elizabeth,Woodard,9.215002796,FALSE
Sherry,Peterson,9.233781216,FALSE
Kirk,Pearson,9.303532223,FALSE
Joyce,Hayes,9.323647262,FALSE
Kyle,Morales,9.360940022,FALSE
Kerry,Branch,9.474332966,FALSE
Brenda,Patterson,9.497151664,FALSE
Lindsey,Arias,9.499141593,FALSE
Andrew,Brewer,9.514198172,FALSE
Jacqueline,Wilson,9.748399326,FALSE
Tony,Perry,9.752336874,FALSE
Richard,Jones,9.800347835,FALSE
Lee,Peterson,9.845999712,FALSE
Justin,Decker,9.919029461,FALSE
Patrick,Hendrix,9.994643513,FALSE
Billy,Olsen,10.00480704,FALSE
Ruben,Lee,10.15776929,FALSE
Ashley,Sanders,10.16997317,FALSE
Jonathan,Green,10.23139816,FALSE
